STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,1/01/2022,0,6.4,13.6,2.4,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,2/01/2022,0,5.9,12,2.9,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,3/01/2022,0,11,13,4.7,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,4/01/2022,0.5,11.3,18.1,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,5/01/2022,7.9,3.6,9.5,0.5,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,6/01/2022,0,1.9,6,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,7/01/2022,0,1.3,3.3,-1.1,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,8/01/2022,2,4.2,8,1.4,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,9/01/2022,4.3,4.7,8.5,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,10/01/2022,0.3,2,6,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,11/01/2022,0,-0.9,0.7,-3.6,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,12/01/2022,0,-1.8,2,-4,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,13/01/2022,0,-2.4,3,-6,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,14/01/2022,0,-0.1,7.6,-5,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,15/01/2022,0,-2.7,0.8,-5.8,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,16/01/2022,0,-0.1,5,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,17/01/2022,0,2.5,7,-0.4,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,18/01/2022,0,1.6,6,-3.5,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,19/01/2022,0,1.8,4.7,-2.3,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,20/01/2022,0,2.8,6,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,21/01/2022,0.5,0.7,4.5,-2.9,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,22/01/2022,0,1.4,7,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,23/01/2022,0,0.7,6,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,24/01/2022,0,0.1,5.2,-4.4,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,25/01/2022,0,1.5,9,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,26/01/2022,0,-1.6,1.6,-5,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,27/01/2022,0,-0.8,2,-2.5,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,28/01/2022,1,2.2,6,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,29/01/2022,0,2.8,7.5,-2.2,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,30/01/2022,0,5.8,10.3,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,31/01/2022,0,4.5,7.6,-1.4,,,
,,,,,,,,6.693548387,,,,6.693
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,1/02/2022,1.8,3.7,6,,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,2/02/2022,0.5,8.1,10,4.7,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,3/02/2022,0,6.7,11,2.5,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,4/02/2022,0,7.3,9.2,3.3,,,
FRM00007299,"BALE MULHOUSE, FR",47.59,7.53,269.7,5/02/2022,0.5,3.8,8.5,,,,
