STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,,
JA000047759,"KYOTO, JA",35.017,135.733,46,1/01/2022,1,2.3,5.6,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,2/01/2022,0,4.8,9.4,-0.9,,
JA000047759,"KYOTO, JA",35.017,135.733,46,3/01/2022,0,5.4,11.6,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,4/01/2022,0,4.3,8.4,1.5,,
JA000047759,"KYOTO, JA",35.017,135.733,46,5/01/2022,0,3.8,6.6,2,,
JA000047759,"KYOTO, JA",35.017,135.733,46,6/01/2022,0,4.1,6.8,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,7/01/2022,0.5,4.3,6.6,2.5,,
JA000047759,"KYOTO, JA",35.017,135.733,46,8/01/2022,0,4.4,10,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,9/01/2022,0,7.6,12.3,0.7,,
JA000047759,"KYOTO, JA",35.017,135.733,46,10/01/2022,0,7.6,13.6,3.4,,
JA000047759,"KYOTO, JA",35.017,135.733,46,11/01/2022,9.9,4.3,7.3,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,12/01/2022,0.5,2.7,4.9,1.2,,
JA000047759,"KYOTO, JA",35.017,135.733,46,13/01/2022,0,2.6,7.4,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,14/01/2022,5.1,2.4,3.7,-1,,
JA000047759,"KYOTO, JA",35.017,135.733,46,15/01/2022,0,3.3,8.1,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,16/01/2022,0,5.4,10.6,-0.4,,
JA000047759,"KYOTO, JA",35.017,135.733,46,17/01/2022,0,4.9,9.9,1.3,,
JA000047759,"KYOTO, JA",35.017,135.733,46,18/01/2022,0,2.1,5.8,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,19/01/2022,0,2.9,7.4,-0.2,,
JA000047759,"KYOTO, JA",35.017,135.733,46,20/01/2022,3,1.9,6,-0.2,,
JA000047759,"KYOTO, JA",35.017,135.733,46,21/01/2022,8.9,2.1,4.1,-0.5,,
JA000047759,"KYOTO, JA",35.017,135.733,46,22/01/2022,0,2.8,7.2,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,23/01/2022,10.9,3.8,5,0.2,,
JA000047759,"KYOTO, JA",35.017,135.733,46,24/01/2022,2,4.3,9.2,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,25/01/2022,0,4.5,9.3,-0.2,,
JA000047759,"KYOTO, JA",35.017,135.733,46,26/01/2022,0,6.8,10.9,0.4,,
JA000047759,"KYOTO, JA",35.017,135.733,46,27/01/2022,0,4.6,9.4,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,28/01/2022,0,4.8,9.9,1.1,,
JA000047759,"KYOTO, JA",35.017,135.733,46,29/01/2022,0,5.7,9.6,1.5,,
JA000047759,"KYOTO, JA",35.017,135.733,46,30/01/2022,0,4.4,9.4,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,31/01/2022,0,4.1,8.9,,,
,,,,,,,,8.222580645,,,8.223
,,,,,,,,,,,
,,,,,,,,,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,1/02/2022,0,4.8,10.6,0.1,,
JA000047759,"KYOTO, JA",35.017,135.733,46,2/02/2022,0,4.2,8,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,3/02/2022,0,4.9,9.1,0.8,,
JA000047759,"KYOTO, JA",35.017,135.733,46,4/02/2022,0,4.8,10.5,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,5/02/2022,0,2.1,6,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,6/02/2022,,2.4,6,-0.7,,
JA000047759,"KYOTO, JA",35.017,135.733,46,7/02/2022,0,4.6,8.4,-0.4,,
JA000047759,"KYOTO, JA",35.017,135.733,46,8/02/2022,0.5,5.5,11.4,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,9/02/2022,0,5.9,11,1.5,,
JA000047759,"KYOTO, JA",35.017,135.733,46,10/02/2022,0,5.5,9.4,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,11/02/2022,0,5.7,12.2,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,12/02/2022,0,6.4,13.1,0.9,,
JA000047759,"KYOTO, JA",35.017,135.733,46,13/02/2022,7.1,4.9,6.7,2.1,,
JA000047759,"KYOTO, JA",35.017,135.733,46,14/02/2022,0,5.4,10.9,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,15/02/2022,0,6.5,12.2,1.2,,
JA000047759,"KYOTO, JA",35.017,135.733,46,16/02/2022,0,2.7,7.5,,,
JA000047759,"KYOTO, JA",35.017,135.733,46,17/02/2022,0,1.5,5.5,-0.9,,
JA000047759,"KYOTO, JA",35.017,135.733,46,18/02/2022,0,3.4,8.6,-0.4,,
,,,,,19/02/2022,,,8,,,
,,,,,20/02/2022,,,10,,,
,,,,,21/02/2022,,,7,,,
,,,,,22/02/2022,,,7,,,
,,,,,23/02/2022,,,5,,,
,,,,,24/02/2022,,,6,,,
,,,,,25/02/2022,,,10,,,
,,,,,26/02/2022,,,12,,,
,,,,,27/02/2022,,,13,,,
,,,,,28/02/2022,,,14,,,
,,,,,,,,9.253571429,,,9.254
