STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,1/01/2022,0,0,,-4.2,1.4,-9.8,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,2/01/2022,8.6,37,70,2.8,5,0.5,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,3/01/2022,7.6,0,20,3.5,5.4,1.6,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,4/01/2022,7,4,0,2.6,4.9,0.2,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,5/01/2022,0.9,,0,-1.3,0.8,-3.4,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,6/01/2022,16.4,120,120,0.2,3.9,-3.5,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,7/01/2022,7.6,0,20,3,4.6,1.3,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,8/01/2022,3,0,,0.7,3.4,-2.1,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,9/01/2022,0,0,,2.6,6.7,-1.5,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,10/01/2022,4.6,0,,3.6,8.5,-1.4,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,11/01/2022,17.7,0,,8.4,10,6.7,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,12/01/2022,29.3,0,,10.2,11.5,8.9,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,13/01/2022,0.2,0,,7.5,11.1,3.9,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,14/01/2022,0,0,,7.5,9.8,5.1,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,15/01/2022,0.2,0,,5.2,7,3.3,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,16/01/2022,0,0,,5.6,6.5,4.7,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,17/01/2022,1.7,0,,5.7,7.3,4,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,18/01/2022,3.1,0,,6.3,7,5.5,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,19/01/2022,8,0,,8.1,9.6,6.5,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,20/01/2022,11,0,,8.9,11.7,6.1,,,
CA001108395,"VANCOUVER INTERNATIONAL A, BC CA",49.2,-123.1833,4,21/01/2022,0,0,,4.9,7.6,2.2,,,
